event_id,volume_id,source_story_order,title,narrated_source,history_start_year,history_end_year,history_display,history_status,realm_id,realm_time_status,personal_time_status,first_safe_chapter,status,lasting_consequence
EV-044,08,44,Rebuilding and contested belonging,Ezra; Nehemiah; Haggai,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C03,editorial-proposal,Restoration can create new exclusions and old grievances.

EV-045,08,45,Diaspora lives: Esther and Tobit,Esther; Tobit; their narrative settings kept distinct,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C05,editorial-proposal,Different diaspora stories do not become a single dated episode.

EV-046,08,46,Judith’s resistance and historical tension,Judith,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C07,editorial-proposal,"Deliberate literary dislocations are recorded, not silently repaired."

EV-047,08,47,Maccabean resistance and its costs,1–2 Maccabees; Hellenistic context,-199,-100,Second century BCE context only,broad-context-not-event-date,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C09,editorial-proposal,Resistance can gain authority while losing the innocence it claims.

EV-048,08,48,Rome enters the regional balance,63 BCE Pompey anchor; pre-Gospel setting,-63,-63,63 BCE,historical-anchor,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V08-C11,editorial-proposal,The political field inherited by Gospel characters is assembled before them.

EV-049,09,49,Birth accounts and their different clocks,Matthew 1–2; Luke 1–2,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C01,editorial-proposal,The witnesses’ settings are retained without invented exact harmonization.

EV-050,09,50,Baptism and the wilderness,Mark 1; Matthew 3–4; Luke 3–4; John 1,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C03,editorial-proposal,A public claim and a private ordeal establish different evidence.

EV-051,09,51,"Meals, teaching and the excluded",Gospel teaching and encounter cycles,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C05,editorial-proposal,Care changes immediate material relations as well as belief.

EV-052,09,52,Jerusalem and the contest over authority,Gospel Jerusalem cycles,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C07,editorial-proposal,"Crowds, officials and friends carry incompatible expectations."

EV-053,09,53,"Arrest, execution and abandonment",Distinct Passion narratives,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C09,editorial-proposal,Death and political violence are not made painless by later meaning.

EV-054,09,54,Resurrection testimony and changed obligations,Distinct resurrection witnesses,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V09-C11,editorial-proposal,"A return does not erase what mourners, witnesses and betrayers experienced."

EV-055,10,55,Pentecost and public witness,Acts 1–2,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C01,editorial-proposal,Shared speech does not require identical experience.

EV-056,10,56,Scarcity and distribution,Acts 4–6; community traditions,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C03,editorial-proposal,Belief meets the bookkeeping of food and care.

EV-057,10,57,Paul’s changed allegiance,Acts 9; Galatians 1; accounts kept distinct,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C05,editorial-proposal,Changed commitment does not undo earlier harm.

EV-058,10,58,Belonging disputed across communities,Acts 15; Galatians; community letters,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C07,editorial-proposal,A council scene cannot settle every community’s later argument.

EV-059,10,59,"Letters, journeys and unequal authority",Acts journey sequences; Pauline corpus,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C09,editorial-proposal,"Delivery dates, composition dates and narrated journeys remain separate."

EV-060,10,60,Jerusalem’s Temple is destroyed,70 CE historical anchor; later reception,70,70,70 CE,historical-anchor,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V10-C11,editorial-proposal,Collective catastrophe transforms interpretation without supplying a universal verdict.

EV-061,11,61,A visionary writes from Patmos,Revelation narrative frame,,,Unestablished,unknown,R-SIGHT,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C01,editorial-proposal,"Vision order, depicted event order and writing date are separate tracks."

EV-062,11,62,Unveilings circulate as competing hopes,Revelation; apocalyptic traditions with independent entries,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C03,editorial-proposal,An image can promise release to one community and terrify another.

EV-063,11,63,A later revolt changes the landscape,132–135 CE institutional historical anchor,132,135,132–135 CE,historical-range,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C05,editorial-proposal,A historical event is not automatically a fulfilment of a prophecy.

EV-064,11,64,"Books travel, change and survive",Source-specific manuscript transmission histories,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C07,editorial-proposal,"Copying, translation, loss and canon selection require separate evidence."

EV-065,11,65,Traditions intersect without becoming identical,World-religion source braids; individual traditions independently sourced,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C09,editorial-proposal,A fictional underlying relation must not masquerade as historical proof.

EV-066,11,66,Institutions inherit both care and harm,Later reception; source-by-source research,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V11-C11,editorial-proposal,"No institution is made timeless, uniform or exempt from internal dissent."

EV-067,12,67,Lily dies and the world continues,Original Unraveling prologue; V2 alternative,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C01,editorial-proposal,Do not import an old exact death interval until this version adopts it.

EV-068,12,68,Remembering meets a living biography,V2 awakening and incarnation premise,,,Unestablished,unknown,R-REFLECTION,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C03,editorial-proposal,A recovered identity cannot displace the present person’s consent.

EV-069,12,69,"Names, dice and allies become consequential",V2 HALO and supporting cast,,,Unestablished,unknown,R-THRESHOLD,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C05,editorial-proposal,"Twenty-four symbols open 512 ordered combinations, not unlimited control."

EV-070,12,70,The Architect’s claim is tested,Original Architect history versus V2 Eve identity,,,Unestablished,unknown,R-ENGINE,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C13,editorial-proposal,Evidence must settle an occupant claim before the story treats it as settled.

EV-071,12,71,The lost are approached on their terms,Codex lost domains; V2 recovery candidates,,,Unestablished,unknown,R-LOST,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C09,editorial-proposal,Restoration asks who lived through the interval and what they now want.

EV-072,12,72,Return of names and unfinished repair,Approved finale direction; new scene work required,,,Unestablished,unknown,R-EARTH,unestablished,unestablished-until-viewpoint-and-interval-adopted,V12-C11,editorial-proposal,Victory changes who can choose; grief and obligations remain.

